Rocket data from 2021-05-08 19:47:48.604872
Nr, posX, posY, centerX, centerY, velX, velY, thrustX, thrustY, rot, engine, targetX, targetY
74,x: 569.4240808756025, y: 188.69993424697137,x: 604.4240808756025, y: 238.69993424697137,x: 0, y: 1.500000000000001,x: 0, y: 0,-0.04,False,x: 26.412135809039196, y: 20
75,x: 569.4240808756025, y: 191.72993424697137,x: 604.4240808756025, y: 241.72993424697137,x: 0, y: 1.5200000000000011,x: 0, y: 0,-0.08,False,x: 26.412135809039196, y: 20
76,x: 569.4240808756025, y: 194.79993424697136,x: 604.4240808756025, y: 244.79993424697136,x: 0, y: 1.5400000000000011,x: 0, y: 0,-0.12000000000000001,False,x: 26.412135809039196, y: 20
77,x: 569.4240808756025, y: 197.90993424697137,x: 604.4240808756025, y: 247.90993424697137,x: 0, y: 1.5600000000000012,x: 0, y: 0,-0.16,False,x: 26.412135809039196, y: 20
78,x: 569.4240808756025, y: 201.05993424697138,x: 604.4240808756025, y: 251.05993424697138,x: 0, y: 1.5800000000000012,x: 0, y: 0,-0.19999999999999998,False,x: 26.412135809039196, y: 20
79,x: 569.4240808756025, y: 204.24993424697138,x: 604.4240808756025, y: 254.24993424697138,x: 0, y: 1.6000000000000012,x: 0, y: 0,-0.23999999999999996,False,x: 26.412135809039196, y: 20
80,x: 569.4240808756025, y: 207.4799342469714,x: 604.4240808756025, y: 257.4799342469714,x: 0, y: 1.6200000000000012,x: 0, y: 0,-0.27999999999999997,False,x: 26.412135809039196, y: 20
81,x: 569.4240808756025, y: 210.7499342469714,x: 604.4240808756025, y: 260.7499342469714,x: 0, y: 1.6400000000000012,x: 0, y: 0,-0.32,False,x: 26.412135809039196, y: 20
82,x: 569.4240808756025, y: 214.0599342469714,x: 604.4240808756025, y: 264.0599342469714,x: 0, y: 1.6600000000000013,x: 0, y: 0,-0.36000000000000004,False,x: 26.412135809039196, y: 20
83,x: 569.4240808756025, y: 217.4099342469714,x: 604.4240808756025, y: 267.4099342469714,x: 0, y: 1.6800000000000013,x: 0, y: 0,-0.4000000000000001,False,x: 26.412135809039196, y: 20
84,x: 569.4240808756025, y: 220.7999342469714,x: 604.4240808756025, y: 270.79993424697136,x: 0, y: 1.7000000000000013,x: 0, y: 0,-0.4400000000000001,False,x: 26.412135809039196, y: 20
85,x: 569.4240808756025, y: 224.2299342469714,x: 604.4240808756025, y: 274.2299342469714,x: 0, y: 1.7200000000000013,x: 0, y: 0,-0.48000000000000015,False,x: 26.412135809039196, y: 20
86,x: 569.4240808756025, y: 227.6999342469714,x: 604.4240808756025, y: 277.6999342469714,x: 0, y: 1.7400000000000013,x: 0, y: 0,-0.5200000000000001,False,x: 26.412135809039196, y: 20
87,x: 569.4240808756025, y: 231.2099342469714,x: 604.4240808756025, y: 281.2099342469714,x: 0, y: 1.7600000000000013,x: 0, y: 0,-0.5600000000000002,False,x: 26.412135809039196, y: 20
88,x: 569.4240808756025, y: 234.7599342469714,x: 604.4240808756025, y: 284.7599342469714,x: 0, y: 1.7800000000000014,x: 0, y: 0,-0.6000000000000002,False,x: 26.412135809039196, y: 20
89,x: 569.4240808756025, y: 238.3499342469714,x: 604.4240808756025, y: 288.34993424697143,x: 0, y: 1.8000000000000014,x: 0, y: 0,-0.6400000000000002,False,x: 26.412135809039196, y: 20
90,x: 569.4240808756025, y: 241.9799342469714,x: 604.4240808756025, y: 291.9799342469714,x: 0, y: 1.8200000000000014,x: 0, y: 0,-0.6800000000000003,False,x: 26.412135809039196, y: 20
91,x: 569.4240808756025, y: 245.6499342469714,x: 604.4240808756025, y: 295.6499342469714,x: 0, y: 1.8400000000000014,x: 0, y: 0,-0.7200000000000003,False,x: 26.412135809039196, y: 20
92,x: 569.4240808756025, y: 249.35993424697142,x: 604.4240808756025, y: 299.3599342469714,x: 0, y: 1.8600000000000014,x: 0, y: 0,-0.7600000000000003,False,x: 26.412135809039196, y: 20
93,x: 569.4240808756025, y: 253.10993424697142,x: 604.4240808756025, y: 303.1099342469714,x: 0, y: 1.8800000000000014,x: 0, y: 0,-0.8000000000000004,False,x: 26.412135809039196, y: 20
94,x: 569.4240808756025, y: 256.89993424697144,x: 604.4240808756025, y: 306.89993424697144,x: 0, y: 1.9000000000000015,x: 0, y: 0,-0.8400000000000004,False,x: 26.412135809039196, y: 20
95,x: 569.4240808756025, y: 260.7299342469715,x: 604.4240808756025, y: 310.7299342469715,x: 0, y: 1.9200000000000015,x: 0, y: 0,-0.8800000000000004,False,x: 26.412135809039196, y: 20
96,x: 569.4240808756025, y: 264.5999342469715,x: 604.4240808756025, y: 314.5999342469715,x: 0, y: 1.9400000000000015,x: 0, y: 0,-0.9200000000000005,False,x: 26.412135809039196, y: 20
97,x: 569.4240808756025, y: 268.50993424697145,x: 604.4240808756025, y: 318.50993424697145,x: 0, y: 1.9600000000000015,x: 0, y: 0,-0.9600000000000005,False,x: 26.412135809039196, y: 20
98,x: 569.4240808756025, y: 272.4599342469715,x: 604.4240808756025, y: 322.4599342469715,x: 0, y: 1.9800000000000015,x: 0, y: 0,-1.0000000000000004,False,x: 26.412135809039196, y: 20
99,x: 569.4240808756025, y: 276.4499342469715,x: 604.4240808756025, y: 326.4499342469715,x: 0, y: 2.0000000000000013,x: 0, y: 0,-1.0400000000000005,False,x: 26.412135809039196, y: 20
100,x: 569.4240808756025, y: 280.4799342469715,x: 604.4240808756025, y: 330.4799342469715,x: 0, y: 2.020000000000001,x: 0, y: 0,-1.0800000000000005,False,x: 26.412135809039196, y: 20
101,x: 569.4240808756025, y: 284.5499342469715,x: 604.4240808756025, y: 334.5499342469715,x: 0, y: 2.0400000000000005,x: 0, y: 0,-1.1200000000000006,False,x: 26.412135809039196, y: 20
